EngagementNumber	StartDate	EndDate	StartTime	StopTime	ContractPrice	CustomerID	AgentID	EntertainerID
49	1999-09-12	1999-09-18	12:00	14:00	$680,00	10014	5	1001
50	1999-09-11	1999-09-15	18:00	20:00	$200,00	10012	7	1009
51	1999-09-12	1999-09-13	20:00	01:00	$650,00	10013	3	1013
52	1999-09-12	1999-09-13	16:00	21:00	$650,00	10010	3	1006
53	1999-09-10	1999-09-11	17:00	19:00	$350,00	10002	5	1007
54	1999-09-10	1999-09-16	16:00	20:00	$2.150,00	10011	3	1008
55	1999-09-18	1999-09-25	20:00	02:00	$770,00	10002	3	1011
56	1999-09-24	1999-09-27	14:00	19:00	$1.550,00	10010	3	1007
57	1999-09-25	1999-09-29	20:00	22:00	$350,00	10011	7	1002
58	1999-09-30	1999-10-03	17:00	23:00	$770,00	10001	2	1002
59	1999-09-30	1999-10-03	15:00	19:00	$290,00	10004	6	1012
60	1999-10-01	1999-10-03	13:00	17:00	$230,00	10010	8	1004
61	1999-10-02	1999-10-09	17:00	20:00	$410,00	10015	8	1011
62	1999-10-08	1999-10-09	20:00	01:00	$500,00	10003	2	1005
63	1999-10-17	1999-10-20	14:00	16:00	$650,00	10009	3	1008
64	1999-10-24	1999-11-02	14:00	16:00	$1.250,00	10007	3	1013
65	1999-10-23	1999-11-02	18:00	21:00	$545,00	10003	1	1009
66	1999-10-21	1999-10-28	20:00	02:00	$2.930,00	10005	5	1006
67	1999-10-23	1999-10-24	17:00	23:00	$770,00	10011	6	1010
68	1999-10-23	1999-10-28	16:00	22:00	$1.670,00	10009	1	1005
69	1999-10-21	1999-10-22	15:00	18:00	$500,00	10004	7	1008
70	1999-10-22	1999-10-25	13:00	15:00	$410,00	10010	6	1001
71	1999-10-21	1999-10-26	14:00	17:00	$1.670,00	10002	1	1003
72	1999-10-21	1999-10-31	20:00	01:00	$875,00	10012	4	1011
73	1999-10-28	1999-11-06	19:00	22:00	$1.400,00	10014	5	1001
74	1999-10-31	1999-11-05	13:00	15:00	$590,00	10004	1	1005
75	1999-10-31	1999-11-10	17:00	20:00	$2.525,00	10001	7	1007
76	1999-10-29	1999-11-02	16:00	22:00	$500,00	10005	7	1012
77	1999-10-29	1999-11-03	17:00	20:00	$1.670,00	10015	5	1003
78	1999-10-31	1999-11-02	16:00	20:00	$770,00	10010	4	1010
79	1999-10-29	1999-11-02	12:00	17:00	$1.550,00	10006	8	1006
80	1999-10-30	1999-10-31	17:00	21:00	$650,00	10002	5	1008
81	1999-10-31	1999-11-08	13:00	17:00	$1.130,00	10013	4	1002
82	1999-11-07	1999-11-08	20:00	01:00	$950,00	10014	8	1003
83	1999-11-05	1999-11-09	13:00	15:00	$650,00	10010	2	1006
84	1999-11-05	1999-11-10	17:00	19:00	$230,00	10007	3	1012
85	1999-11-05	1999-11-07	14:00	19:00	$1.175,00	10015	4	1008
86	1999-11-07	1999-11-16	17:00	22:00	$2.300,00	10008	5	1005
87	1999-11-04	1999-11-04	16:00	19:00	$275,00	10007	6	1008
88	1999-11-06	1999-11-16	12:00	14:00	$1.370,00	10004	8	1013
89	1999-11-05	1999-11-06	14:00	16:00	$290,00	10003	8	1010
90	1999-11-07	1999-11-07	20:00	02:00	$320,00	10006	5	1001
91	1999-11-04	1999-11-11	13:00	19:00	$770,00	10009	3	1004
92	1999-11-11	1999-11-15	19:00	00:00	$1.925,00	10012	6	1008
93	1999-11-14	1999-11-18	17:00	23:00	$500,00	10011	8	1012
94	1999-11-14	1999-11-22	17:00	22:00	$725,00	10001	5	1009
95	1999-11-14	1999-11-17	20:00	01:00	$1.550,00	10010	6	1007
96	1999-11-21	1999-11-30	15:00	17:00	$950,00	10009	6	1005
97	1999-11-18	1999-11-18	17:00	21:00	$110,00	10012	8	1004
98	1999-11-19	1999-11-26	20:00	02:00	$2.930,00	10012	2	1010
99	1999-11-21	1999-11-30	14:00	20:00	$4.550,00	10005	6	1008
100	1999-11-18	1999-11-22	12:00	18:00	$1.850,00	10015	3	1006
101	1999-11-21	1999-11-29	14:00	18:00	$1.670,00	10004	5	1001
102	1999-11-21	1999-11-30	12:00	15:00	$2.300,00	10013	5	1007
103	1999-11-20	1999-11-26	12:00	17:00	$575,00	10010	4	1011
104	1999-11-27	1999-12-01	13:00	16:00	$1.400,00	10010	6	1003
105	1999-11-26	1999-12-01	12:00	17:00	$1.850,00	10002	4	1013
106	1999-11-28	1999-12-01	15:00	18:00	$770,00	10003	6	1006
107	1999-11-28	1999-11-29	16:00	21:00	$200,00	10007	4	1004
108	1999-12-02	1999-12-04	18:00	00:00	$320,00	10004	5	1012
109	1999-12-11	1999-12-15	13:00	19:00	$1.850,00	10014	5	1010
110	1999-12-11	1999-12-19	15:00	19:00	$1.670,00	10006	8	1001
111	1999-12-12	1999-12-14	15:00	18:00	$185,00	10012	1	1004
112	1999-12-19	1999-12-24	18:00	22:00	$410,00	10015	7	1011
113	1999-12-19	1999-12-27	16:00	21:00	$3.425,00	10008	7	1007
114	1999-12-19	1999-12-28	12:00	17:00	$1.550,00	10005	1	1002
115	1999-12-19	1999-12-22	12:00	18:00	$1.490,00	10007	5	1013
116	1999-12-16	1999-12-25	14:00	19:00	$800,00	10003	6	1012
117	1999-12-17	1999-12-24	18:00	23:00	$650,00	10011	3	1009
118	1999-12-18	1999-12-18	19:00	00:00	$350,00	10014	1	1010
119	1999-12-19	1999-12-28	18:00	21:00	$500,00	10012	2	1004
120	1999-12-17	1999-12-20	20:00	23:00	$950,00	10002	7	1008
121	1999-12-16	1999-12-22	17:00	23:00	$2.570,00	10004	3	1006
122	1999-12-24	1999-12-27	15:00	19:00	$1.010,00	10014	5	1010
123	1999-12-25	1999-12-28	16:00	20:00	$770,00	10013	1	1001
124	1999-12-23	1999-12-30	14:00	17:00	$1.850,00	10006	1	1008
125	1999-12-23	1999-12-28	13:00	15:00	$1.130,00	10001	3	1003
126	1999-12-24	1999-12-31	18:00	20:00	$1.010,00	10009	6	1006
127	1999-12-24	1999-12-28	20:00	22:00	$500,00	10010	4	1005
128	1999-12-26	1999-12-28	19:00	01:00	$320,00	10003	4	1011
129	1999-12-24	2000-01-02	17:00	21:00	$2.450,00	10004	5	1013
130	1999-12-24	2000-01-01	14:00	18:00	$590,00	10015	8	1009
131	1999-12-31	2000-01-09	15:00	17:00	$1.850,00	10014	1	1003
